"","ID_4","X","Y","living_wage","pop_density","average_age_pop","one_person_HH","one_parent_HH","reg_partnership","higher_degree","owner_buildings","poverty_S","criminality_index","income_index","gini_ineq_coef"
"246",246,669312.126358155,684281.381927165,-0.774792095922547,-0.138039912929646,0.299317367331668,-0.880124043324583,-0.761938447748135,-0.405984729077538,0.889456657231894,0.923847451500167,-0.630494636913266,-0.873010771529472,1.20517644883546,0.0556966633287493
"247",247,692613.678444131,652685.584642023,-0.18907334166959,-0.281994688331961,-0.610211303418131,-0.622455696534193,0.397505311164202,1.08585441553769,0.552744293652537,1.20789671367782,-0.364886498304438,-0.889693628723626,0.364640348812617,0.301970231517835
"248",248,618838.788947699,655508.742457877,-0.746459458947999,-0.308209635790058,-0.717481156381353,-0.768305704151395,-0.415388837150721,0.476511666328651,0.308826675941507,1.3210971576453,-0.517696712293453,-0.757811097979376,0.577107064452241,0.711248694576882
"249",249,595454.370061824,652277.443796693,-0.250190605727954,-0.31206885910535,-0.0455664004616224,-0.105498447313223,-0.0602824460447282,1.27496078598187,-0.030536966091231,0.884017665659757,0.24273895110028,-0.92244677960949,-0.468010412911575,-0.562651669226737
"250",250,652640.163957585,655277.547682442,-0.430773782975883,0.315864121615129,0.724812993055207,-0.265933455692145,1.04782062981614,-0.679138375274691,2.55976208286178,-0.0750416512869368,-0.452681819129771,1.64725250026861,1.31769917081652,3.11174291056264
"251",251,754895.707401711,655023.58191589,-0.127408085264711,-0.253988984645677,-0.243446672065714,0.289917128893413,0.0124501882781856,1.12787805341417,0.402947061036524,-0.687162570518488,-0.557570244283864,-0.0688509953292748,-0.0225049807597959,0.637258299777414
"252",252,597516.376432769,642163.175037151,0.308630857516899,-0.272250867678586,0.236113152205929,0.591340477968963,0.846736287864553,1.3905257901422,-0.422926177191584,-0.280479494042731,0.621609722964628,0.0757882061427941,-0.540466641315959,-0.653427926882024
"253",253,716290.264553177,644354.533986839,-0.321002499093044,-0.28505908401656,-1.28000275862106,-0.907673489207832,0.371834969638467,1.08585441553769,0.825825974350756,1.02761452513702,-0.557366724562333,0.412155035245015,0.280292447828883,-0.327480983482265
"254",254,647339.523032883,643033.767335721,0.275217650976786,-0.151446644049769,0.29786490560546,1.36758662962051,0.957974434476069,0.276899386415346,1.18242292633047,-1.60115134032998,0.503115544428544,2.15692078610468,1.07726407895782,1.00453590957071
"255",255,755455.450565991,642512.661200454,3.76563430761962,0.455035566878515,-1.04340399629999,2.3561255701371,1.98050970525116,-0.952292021471845,-0.607190029701547,-2.44386575653232,2.13810207474555,2.80130002334585,-1.49292176907177,0.196658596086349
"256",256,614881.016448491,643952.379035609,-0.2213681782084,-0.301554151412568,-1.24835886492982,0.503830473398642,1.09916131286761,2.86135311581918,-0.654913041862401,0.0318698791267929,0.504886800024105,0.821344608170316,-0.462200630086853,-0.0961805993606064
"257",257,646428.768599024,683909.933605307,-0.822863202319602,-0.108004047102315,0.400738524917565,-0.729412368786808,0.0595124810753655,-1.33050476236021,1.3017304567326,0.183851956675723,-0.895616460635906,-0.834351340089977,2.35825242815071,1.58700954332508
"258",258,715255.827510134,680955.980541496,-0.1189133084814,-0.0141521411432001,1.14117300451096,0.980273831614833,-0.415388837150721,-0.66863246580557,0.880177182645061,-0.645236480160162,-0.159337544559545,1.02295283660536,0.792954453192149,-0.162496138747701
"259",259,555342.126931985,683562.633053434,-0.717290506856384,-0.246687104303467,0.584939826143487,-0.747238480828911,-1.54488386428303,-0.847232926780632,-0.85906148277272,0.962629085081617,-0.673672402719332,-1.04494628841482,-0.9425745004909,-0.841887678595052
"260",260,629290.29114626,681918.715297136,-0.0726697386517259,0.13786103728596,0.73236527624574,0.766360487109604,-0.133015080367643,-0.500537914299629,-0.103447123559202,-0.41569113544833,-0.277364530506849,0.872948394940785,0.626028248805397,-0.408265079259869
"261",261,650587.0256401,681831.549126678,-0.394478244142582,0.079508240085627,0.543646317541295,0.298019907094368,0.256318432772662,-0.448008366954023,1.03925388984791,-0.407305917376665,-0.693284706067809,-0.387375446081776,1.81260034835974,0.939515828815114
"262",262,675386.913051015,683331.492106855,-0.662018494494179,-0.159447589657527,0.095301987924027,-0.829886818478658,-0.868898204105362,0.266393476946225,1.38259444956072,1.22676345433907,-0.628224507110497,-0.948788501758744,1.50979517663475,0.582369217343498
"263",263,587541.172319611,681581.50792372,-0.888513043597015,-0.1376424991143,-0.199296408519321,-0.640281808576296,-1.28818044902569,-0.111819263942141,-0.246616160041764,0.0874219488515749,-0.898822467635696,-0.954766944568569,0.0319194276976657,-0.588945869988722
"264",264,582989.205569036,682969.908754228,-0.866768850553278,-0.206950510887076,0.109215108513669,-1.03245627350255,-1.34379952233145,-0.237890177571597,-0.631051535781974,0.492008720809415,-0.798502551921601,-1.24769857295957,-0.357021104819508,-0.607638536068529
"265",265,734575.929473195,680566.58662944,-0.716251828552533,-0.254759871685084,0.365463012659391,-0.935222935091082,-0.847506252833916,-1.03633929722482,-0.0199318522777084,0.257222614802793,-0.768616869584669,-0.552525922129265,-0.00972373017097629,-0.566071427003692
"266",266,705927.151699385,680929.717352704,-0.760878283712589,-0.223086469413794,0.340170982635095,-0.839610152319805,-0.911682106648252,-0.090807445003899,0.277011334500938,0.931184517312873,-0.794773162775176,-0.660777409462439,0.202194419529071,-0.812109190849956
"267",267,610307.793994681,681334.090877577,-0.859365581401342,-0.211891848928492,0.169836460874665,-1.01300960582026,-0.0773960070618849,-0.237890177571597,0.699890247815169,0.939569735384538,-0.776672455492915,-1.04450774401149,0.835553692190925,-0.112026523532331
"268",268,575455.803826968,682590.099666086,-0.777795308880408,-0.179289551715309,0.412517489816703,-0.67431347702031,-1.26678849775424,-0.143336992349506,-0.987648487761687,0.790732114612483,-0.845726459470526,-0.926187743457479,-0.672101982040041,-1.25178984660713
"269",269,693515.827122352,680757.945857671,-0.803644072049021,-0.281851044784246,0.695508002317089,-0.752100147749484,-1.15127196088844,-1.33050476236021,-0.186962394840697,1.32633791894009,-0.628167127463883,-0.811857136541286,0.264555422757413,-0.49814799620997
"270",270,664014.514480904,681409.273656794,-0.746762108315846,-0.199533715706694,-0.00573215039874289,-1.01300960582026,-0.312707471047783,-0.75267974155854,0.864269511924777,0.844187879819348,-0.878307306278507,-0.813442455945263,1.95569645692954,1.36280156889441
